Scraped by,Name,URL,user_id,Bio(text),星座,Sex,following count,fans count,liked n collected,ip_location,tags(text),图文报价(RMB),图文报价有对号,红人健康等级,什么薯?,活跃粉丝占比(仅>1K),粉丝女性比例,(先不填)近180天粉丝增量,粉丝年龄<18,粉丝年龄18-24,粉丝年龄25-34,粉丝年龄35-44,粉丝年龄>44,兴趣标签,地域分布,笔记热词
Yucheng,苹果头在路上,https://www.xiaohongshu.com/user/profile/587623ba6a6a691cffba0875,587623ba6a6a691cffba0875,"｜35+ 会计打工人
｜喜爱跳舞/追剧/分享生活有用信息/偶尔健身/男宝妈",,F,99.0,573.0,5689,,美国,,,,,,,,,,,,,,,
Yucheng,温不温,https://www.xiaohongshu.com/user/profile/5deef4710000000001006a73,5deef4710000000001006a73,❌不喜勿入,,F,359.0,449.0,5385,,美国,,,,,,,,,,,,,,,
Yucheng,达拉斯美睫美甲培训,https://www.xiaohongshu.com/user/profile/651b72c60000000024016c70,651b72c60000000024016c70,"99 Beauty Salson &School 99美业执照培训学校
9300 John Hickman Pkwy #1203, Frisco, TX 75035",,F,1405.0,429.0,3787,,"美国得克萨斯
美甲师
美食博主",,,,,,,,,,,,,,,
Yucheng,大猪蹄子i,https://www.xiaohongshu.com/user/profile/5bcd24861193dc000127b483,5bcd24861193dc000127b483,"ENFJ ｜天津✈️芝加哥✈️达拉斯｜非单身
兴趣爱好广泛",,M,74.0,405.0,7136,,美国,10,,,泡泡薯,,91.88,,64.38,25.8,4.43,3.38,1.99,"1	素材	9.40%
2	影视	7.18%
3	娱乐	5.90%
4	人文	5.30%
5	兴趣爱好	4.85%","1	山东	8.40%
2	河南	8.38%
3	广东	8.36%
4	江苏	7.18%
5	河北	5.45%",
Yucheng,德州太太Hannah,https://www.xiaohongshu.com/user/profile/615b505c000000000201f7b8,615b505c000000000201f7b8,住在达拉斯的台湾太太♥️热爱手作、料理、居家布置😋家中有两只猫猫😼😸♥欢迎收听我的Podcast：「幸福餐桌」和「宝贝方舟说故事」,,F,78.0,364.0,2453,,美国,,,,,,,,,,,,,,,
Yucheng,步鹿在流浪,https://www.xiaohongshu.com/user/profile/576e5cc95e87e72f9801db4d,576e5cc95e87e72f9801db4d,"纽约 ▶️ 西雅图 ▶️ 湾区 ▶️ 达拉斯
平时钻研各种证书📖
没事出去吃吃喝喝🍔
业余房地产研究员🧐
家有逆子柴犬小蜜蜂",,F,426.0,243.0,3656,,美国,10,,,困困薯,,81.13,,11.86,31.82,36.43,13.89,5.97,"1	美食	7.78%
2	时尚	5.71%
3	影视	4.63%
4	家居家装	4.44%
5	美妆	4.42%","1	广东	11.57%
2	江苏	7.31%
3	山东	6.95%
4	浙江	6.13%
5	河南	5.65%",
Yucheng,小唇me蜜,https://www.xiaohongshu.com/user/profile/5dfd27da0000000001009aae,5dfd27da0000000001009aae,,,F,37.0,238.0,4920,,美国,,,,,,,,,,,,,,,
Yucheng,Shanghai22Spring,https://www.xiaohongshu.com/user/profile/5b6ca1b7e44bfa0001a013e6,5b6ca1b7e44bfa0001a013e6,"全职工作以外，也是我们家teenage girl 的妈妈/闺蜜/心灵导师
热爱：艺术，旅行，美食，料理，健身，养生",,F,217.0,236.0,2031,,美国,,,,,,,,,,,,,,,
Yucheng,奶盖队长,https://www.xiaohongshu.com/user/profile/5f3a3aa5000000000101e9ac,5f3a3aa5000000000101e9ac,吃好吃的，盘好看的,,F,496.0,231.0,16000,,美国TX,,,,,,,,,,,,,,,
Yucheng,Coco,https://www.xiaohongshu.com/user/profile/6613fa0f000000000303117f,6613fa0f000000000303117f,记录美国生活,,F,64.0,220.0,1342,,美国,,,,,,,,,,,,,,,
Yucheng,芝麻糊了吧,https://www.xiaohongshu.com/user/profile/57ffbca35e87e76f746d9a64,57ffbca35e87e76f746d9a64,👩🏻‍💻审计民工｜ISFJ,,F,37.0,217.0,7157,,美国,,,,,,,,,,,,,,,
Xinbo,liliannnn,https://www.xiaohongshu.com/user/profile/56580a5582718c1cd91ae353,56580a5582718c1cd91ae353,"👉🏻ENFP（E中I人P中J人版）
📝佛系分享记录| 有空看看演出
✨野生美食探索家 | 老kpop人
🐱🐶想撸遍全世界的猫猫狗狗",,F,112.0,6202.0,86000,,US,,,,,,,,,,,,,,,
Xinbo,Xena,https://www.xiaohongshu.com/user/profile/676f0595000000001801da5d,676f0595000000001801da5d,"🎮 🎨💪🏽📺📚🧠💄🐶🌵🥾♏️

Hi Everyone
Welcome to my world
From TikTok 💔",,F,200.0,4534.0,100000,,US,,,,,,,,,,,,,,,
Xinbo,潘子屋,https://www.xiaohongshu.com/user/profile/5eae58c50000000001006b68,5eae58c50000000001006b68,"🙋‍♀️现居LA🇺🇸 的清华学姐
🥰热爱下厨 享受半退休状态
希望陪你一起过好生活的每一天！",,F,401.0,4202.0,96000,,US,170,0.0,,,76.81,81,,2.79,15.7,45.79,23.6,12.1,"1	美食	13.30%
2	生活记录	9.90%
3	娱乐	8.60%
4	时尚	6.60%
5	家居家装	5.70%","1	海外	43.60%
2	广东	8.90%
3	北京	5.79%
4	上海	4.60%
5	江苏	4.40%",
Xinbo,陈年黑馒头,https://www.xiaohongshu.com/user/profile/60e859f1000000000100b675,60e859f1000000000100b675,📷🥑🏝️👨🏻‍⚕️🇺🇸UT Southwestern➡️Stanford Medicine,,M,209.0,1570.0,3040,,,50,70.0,,,52.04%,,,,,,,,,,
Xinbo,北极熊的美国生活笔记,https://www.xiaohongshu.com/user/profile/6303b99d0000000012001f58,6303b99d0000000012001f58,"🇺🇸17年
🏠 南京 ❄️波士顿 🌧️西雅图 🌞达拉斯
你的北美生活博主
摄影+旅游👉@我是邻居家的猫
私信不看请见谅❤️",,,49.0,1479.0,28000,,US,,,,,,,,,,,,,,,
Xinbo,你的TX朋友圈,https://www.xiaohongshu.com/user/profile/5f1880d8000000000101d503,5f1880d8000000000101d503,"🇺🇸TX小红🍠们，定期播报吃喝玩乐、一手探店讯息、餐馆测评、用餐指南！❤️
很高兴成为你的TX朋友圈☺️",,F,17.0,1295.0,7172,,US,,,,,,,,,,,,,,,
Xinbo,美村花姐MOMO,https://www.xiaohongshu.com/user/profile/6173187600000000020257ee,6173187600000000020257ee,"姐另一个平台名字一样💜🩷💙
去过8个国家，中国29个省，美国31个州👑
Don’t mess with Texas ☝️
活在缘分里，而不是关系里 🫶🏻✨",,F,55.0,1077.0,3024,,US,,,,,,,,,,,,,,,
Xinbo,你楠朋友,https://www.xiaohongshu.com/user/profile/569e959daed75837b030abb6,569e959daed75837b030abb6,"赤道的边境万里无云 天很清
旅行｜探店｜美食
📍上海🔁达拉斯",,F,211.0,727.0,20000,,US,,,,,,,,,,,,,,,
Xinbo,小水瓶莉莉,https://www.xiaohongshu.com/user/profile/5eef790e0000000001002090,5eef790e0000000001002090,"🇬🇧UoE➡️🇩🇪家电➡️🇺🇸建材
🌍携程签约旅行家 花筑特邀体验官
长白山万达度假区雪季体验官
巴黎联合国总部演讲人
分享生活有问必答💗SunLily0000",,F,184.0,714.0,11000,,US,,,,,,,,,,,,,,,
Xinbo,撸铁菜鸟进阶记,https://www.xiaohongshu.com/user/profile/6258abf30000000021022dab,6258abf30000000021022dab,"美国打工人日常
健身旅行不鸡娃，美食美景撸铁妈
从小讨厌运动的我因为娃太小，我太老，终于在40+开始“动”了，超高龄+超低起点🥺 为70岁的露脐装，80岁的环球旅行，90岁的最纯美爱情而努力💪😎",,F,100.0,670.0,10000,,US,,,,,,,,,,,,,,,
Xinbo,Ayomelon,https://www.xiaohongshu.com/user/profile/55764c7fc2bdeb6b9fc056c1,55764c7fc2bdeb6b9fc056c1,"📍二孩宝妈一枚😎
❤️拥有两个宝贝：🐭哥🐯妹
✏️偶然打开小红书的分享欲大门
🧸很开心姐妹们喜欢这些分享",,F,98.0,609.0,8547,,US,,,,,,,,,,,,,,,
Xinbo,倚砳是好吃包,https://www.xiaohongshu.com/user/profile/5b7ba8c2e6c06200012a5977,5b7ba8c2e6c06200012a5977,"背包客，旅行产品工作，攻略达人
分享我在世界各地 吃过/见过的美食",,F,43.0,468.0,5069,,,,,,,,,,,,,,,,,
Xinbo,AAAAAlbert,https://www.xiaohongshu.com/user/profile/5d236c2400000000110291ba,,Texan/Engineer/Home Improvement/Road Trip Fan,,M,146.0,456.0,3857,,US,,,,,,,,,,,,,,,
Xinbo,Texas达村德州JC,https://www.xiaohongshu.com/user/profile/63288a0200000000230275fd,63288a0200000000230275fd,"Speak Texan, Cantonese, Mandarin
愛上德州Texas!
愛上達村Dallas!",,M,106.0,454.0,2699,,US,,,,,,,,,,,,,,,
Xinbo,朵拉在美国啊,https://www.xiaohongshu.com/user/profile/5de722fd000000000100b95e,5de722fd000000000100b95e,"🍗美食｜🛒羊毛｜🇺🇸生活 ｜旅游
美食挖掘机，种草🆚拔草日记，北美生活指南，旅游攻略，羊毛🦙计算家
📍Texas",,F,474.0,442.0,5512,,US,,,,,,,,,,,,,,,
Xinbo,meow-,https://www.xiaohongshu.com/user/profile/57a142546a6a695a454d664e,57a142546a6a695a454d664e,心上不长草 诗酒趁年华,,F,257.0,427.0,11k,,US,10,20.0,,,,78.45%,,20.45,24.34,31.9,16.08,7.21,"1	美食	6.14%
2	时尚	5.53%
3	影视	5.17%
4	娱乐	4.27%
5	素材	4.25%","1	广东	11.12%
2	江苏	7.59%
3	山东	6.84%
4	浙江	6.44%
5	上海	5.75%",
Xinbo,JoanneJJJ,https://www.xiaohongshu.com/user/profile/6104251600000000010052ab,6104251600000000010052ab,"👩🏻‍💻四大 · CPA
要开心·要洒脱·要爱自己·要好好吃饭·要好好睡觉
ig: baobao_jjj",,F,48.0,402.0,2373,,US,,,,,,,,,,,,,,,
Xinbo,Fun Life Club,https://www.xiaohongshu.com/user/profile/6110a0940000000001002eec,6110a0940000000001002eec,"来美十年 电商/数字化营销/商业智能
分享旅行、日常、成长、思考",,F,159.0,311.0,4141,,US,,,,,,,,,,,,,,,
Xiaohan,黑胡椒点点,https://www.xiaohongshu.com/user/profile/61476c9f0000000002020845,61476c9f0000000002020845,"📍常驻休斯顿/奥斯汀的咨询打工人
🍣美食探店｜🏄‍♀️旅游攻略
以及打工人偶尔发疯的日常
📍HOU/ATX Based Consultant
Howdy! 🤘👋",,F,27.0,1123.0,49k,,US,10,0.0,,金冠薯,73.58,76.43,,20.97,27.22,25.1,16.35,10.33,"1        影视        4.51%
2        美食        4.50%
3        时尚        3.82%
4        娱乐        3.75%
5        兴趣爱好        3.04%","1        广东        8.31%
2        江苏        5.77%
3        山东        5.26%
4        浙江        4.41%
5        河南        4.04%",
Xiaohan,久久Anita_Ta,https://www.xiaohongshu.com/user/profile/589f2a696a6a69228d063c80,589f2a696a6a69228d063c80,"📍波士顿、达拉斯、纽约
～～ 分享美好生活 ～～
探店｜旅游｜穿搭｜留学
⊹🤍 *✩‧₊˚𝙳𝚊𝚒𝚕𝚢 𝚙𝚑𝚘𝚝𝚘𝚜˚₊‧✩*🤍₊⁺",,F,417.0,4478.0,18k,,US,10,0.0,,,67.11,86.85,,15.14,31.74,34.84,13.24,5.02,"1	美食	6.50%
2	时尚	5.09%
3	素材	4.28%
4	出行	4.18%
5	影视	4.03%","1	广东	10.37%
2	江苏	7.25%
3	山东	6.13%
4	浙江	5.92%
5	河南	5.14%",
Xiaohan,绿野仙踪Girlpower221,https://www.xiaohongshu.com/user/profile/5cf3d4cd00000000100324a0,5cf3d4cd00000000100324a0,坐标美国德州，拥有自己的农场，偶尔做做私厨，努力做达拉斯周边Farm To Table中餐第一人！在这里跟大家分享生活，分享美食。有问题找分号@Fresh Mojo Farms,,F,921.0,8915.0,71000,,UnitedStates,238,1.0,优秀,金冠薯,73.23,86.27,,13.52,21.04,34.85,18.96,11.61,"1        美食        10.07%
2        时尚        4.68%
3        影视        4.53%
4        家居家装        4.42%
5        兴趣爱好        4.10%","1        广东        10.83%
2        江苏        7.51%
3        山东        7.03%
4        浙江        6.00%
5        河南        5.98%",
Xiaohan,Dallas Miranda,https://www.xiaohongshu.com/user/profile/67865b1a000000000803eeb0,67865b1a000000000803eeb0,Ig & YT: dallasmirandaklein Over 400k friends on TikTok and refugee,,F,3.0,7252.0,24000,,,找不到,,,,,,,,,,,,,,
Xiaohan,薯条是本命,https://www.xiaohongshu.com/user/profile/595b8e775e87e737755bf1bd,595b8e775e87e737755bf1bd,𝙀𝙣𝙟𝙤𝙮 𝙡𝙞𝙛𝙚 ʚ🧸ྀིɞ 📍Dallas 🦋ig: yvonneyifanhe 📮 yvonneyifanhe@gmail.com,,F,439.0,6359.0,71036,,"26岁, UnitedStates, vlog博主, 罗彻斯特大学",0,1.0,初级达人,金冠薯,49.83,94.3,,9.8,44.29,38.6,5.1,2.2,"1        时尚        10.30%
2        美食        9.50%
3        娱乐        9.20%
4        生活记录        8.50%
5        美妆        7.30%","1        广东        13.60%
2        海外        13.50%
3        江苏        6.80%
4        浙江        6.80%
5        上海        6.60%",Analytics、人求、出门、王者、相关
Xiaohan,向向同学Xsingnana😽,https://www.xiaohongshu.com/user/profile/617961470000000002027fea,617961470000000002027fea,爱吃爱玩的旅行家 | 永远步履不停地在成长 She’s forever evolving 记录那些让我成为「我」的瞬间 📍长沙➡️NYC➡️DFW ig: Xsingna,,F,1010.0,5487.0,147344,,美国NY,130,0.0,初级达人,铜冠薯,61.18,83.7,,42.93,22.07,14.29,12.26,8.42,"1	影视	7.20%
2	美食	5.78%
3	素材	5.47%
4	娱乐	5.18%
5	生活记录	4.88%","1        广东        9.81%
2        山东        7.66%
3        江苏        7.33%
4        河南        6.36%
5        河北        5.30%",发现、views、外表、开飞机第一视角、姿势
Xiaohan,Hereisivy,https://www.xiaohongshu.com/user/profile/55f2f7e3f5a2635bd2fac7b5,55f2f7e3f5a2635bd2fac7b5,💕记录生活💓ESFJ 🧳有趣的灵魂永远在路上 旅游/穿搭/Vlog/留学,Taurus,F,74.0,5445.0,64573,,UnitedStates,750,1.0,优秀,文化薯,75.24,49.79,,2.99,34.11,39.87,16.47,6.53,"1        生活记录        15.24%
2        时尚        10.61%
3        旅游        9.37%
4        娱乐        7.96%
5        美食        7.65%","1        海外        30.51%
2        广东        12.80%
3        北京        6.10%
4        上海        5.33%
5        江苏        5.11%",
Xiaohan,握瑾怀瑜,https://www.xiaohongshu.com/user/profile/5f5119d80000000001003189,5f5119d80000000001003189,在美国生活十几年| 吃喝玩乐+折扣分享｜传播中华文化 汉服世界旅行｜分享双语教育,,F,265.0,5284.0,67920,,"美国TX, 探店博主, 旅行博主",500,0.0,,,58.74,79.59,,22.11,21.13,32.35,17.93,6.45,"1	生活记录	9.36%
2	美食	7.90%
3	娱乐	7.81%
4	影视	6.69%
5	时尚	5.33%","1	海外	21.52%
2	江苏	10.57%
3	广东	9.79%
4	山东	4.88%
5	浙江	4.51%",美国、美国生活、好吃、还有、感觉
Xiaohan,胡桃夹子与小熊,https://www.xiaohongshu.com/user/profile/593a946750c4b410410c3805,593a946750c4b410410c3805,🇨🇳青岛🇺🇸 费城👩🏻‍🎓达拉斯🏘 生物医学攻城🧠 🎻巴赫爱好者🎹游泳菜蛙🐸徒步萌新🧗 达村日常、房产笔记均已分类,,F,141.0,2954.0,27765,,美国,130,0.0,,文化薯,43.65,91.1,,8.12,26.71,42.98,18.38,3.78,"1        美食        3.21%
2        时尚        2.81%
3        美妆        2.67%
4        出行        2.55%
5        家居家装        2.38%","1        广东        6.11%
2        江苏        4.03%
3        浙江        3.82%
4        山东        3.22%
5        河南        2.57%",
Xiaohan,💡刘老师,https://www.xiaohongshu.com/user/profile/5b67b542a559a50001e1ff09,5b67b542a559a50001e1ff09,德州房产经纪人Broker🏠 DISD 高中化学物理老师 TX Esthetician TX证婚人 爱考证❤️爱猫猫❤️爱脱口秀,Sagittarius,F,1931.0,2169.0,13198,,巴巴多斯,找不到,,,,,,,,,,,,,,
Xiaohan,Amy在达拉斯,https://www.xiaohongshu.com/user/profile/5f5888a8000000000101e50d,5f5888a8000000000101e50d,🌞达拉斯生活&达拉斯溜娃分享🌞 🎓达拉斯公/私校/学区/分析分享🎓 🏫美国Think Academy 老师🏫 💗关注我 一起做更好的家长💗,,F,47.0,1957.0,10429,,,80,0.0,,文化薯,29.02,82.44,,16.61,25.13,32.43,18.39,7.41,"1        美食        4.71%
2        时尚        4.14%
3        素材        3.54%
4        影视        3.44%
5        教育        3.42%","1        广东        8.62%
2        江苏        5.78%
3        山东        5.31%
4        浙江        4.75%
5        河南        4.43%",
Xiaohan,晴晴安,https://www.xiaohongshu.com/user/profile/55481451b203d97e86008c02,55481451b203d97e86008c02,📍北京制造 定居达拉斯 🗂《达拉斯约会宝典》💯家餐厅✅达成 🎓MS Business Analytics 👩🏻‍💻500强数据产品负责人 🐈有只橘猫叫Kitters,,F,1049.0,1956.0,17769,,"美国, 探店博主",180,1.0,1,文化薯,44.49,66.46,52.0,2.88,11.63,44.41,24.71,16.34,"1        美食        12.41%
2        生活记录        11.73%
3        娱乐        10.29%
4        影视        5.91%
5        时尚        5.59%","1        海外        68.70%
2        广东        4.21%
3        辽宁        3.27%
4        北京        3.14%
5        上海        2.07%",
Xiaohan,Snow-八分之一 冰山,https://www.xiaohongshu.com/user/profile/5a74dca911be1032569e20df,5a74dca911be1032569e20df,咖啡店主不当店主之后 在做什么… 在读 M.S. in Management Science ｜Entrepreneurship program 在健身，打球pickleball，旅行，探店..,Scorpio,F,308.0,1866.0,6899,,美国,40,0.0,,甜筒薯,46.26,88.71,,25.7,28.2,28.51,12.31,5.26,"1        美食        8.17%
2        影视        5.61%
3        素材        5.03%
4        时尚        4.83%
5        兴趣爱好        4.83%","1        广东        10.66%
2        山东        7.81%
3        江苏        7.32%
4        河南        6.47%
5        浙江        5.75%",
Xiaohan,tyooo,https://www.xiaohongshu.com/user/profile/5a6ada44db2e6012444e4a39,5a6ada44db2e6012444e4a39,坐标Dallas TX 努力生活中……,,M,113.0,1822.0,47000,,,10,0.0,,困困薯,88.99,80.07,,36.32,29.23,19.59,10.6,4.23,"1        影视        5.79%
2        美食        4.50%
3        娱乐        4.44%
4        时尚        4.32%
5        素材        3.77%","1        广东        7.17%
2        山东        6.00%
3        江苏        4.85%
4        河南        4.81%
5        河北        3.87%",
Xiaohan,摄影师Judy📷,https://www.xiaohongshu.com/user/profile/5aa0cade11be1046ae887e60,5aa0cade11be1046ae887e60,情绪价值拉满的独立女摄 佛系更新的ENFJ｜约拍看这➡️ 个人写真/情侣/领证/亲子/婚礼…,,F,68.0,1770.0,17532,,"摄影师, 摄影博主",300,1.0,1,泡泡薯,43.96,76.4,,3.6,24.11,49.38,13.55,9.33,"1        美食        9.95%
2        生活记录        9.03%
3        娱乐        8.45%
4        时尚        8.20%
5        美妆        6.10%","1        海外        29.25%
2        浙江        11.74%
3        福建        7.56%
4        四川        6.98%
5        广东        5.33%",
Xiaohan,干饭阿丸,https://www.xiaohongshu.com/user/profile/5530f8642e1d9365fa9a29fb,5530f8642e1d9365fa9a29fb,记录吃吃吃的快乐生活🥰 不知道吃什么的时候就翻一翻笔记📕 菜品图均为苹果原相机无滤镜📷 正宗中国胃 重口味爱好者🥘 合集在收藏夹～谢谢喜欢😘,Aries,F,116.0,1611.0,23000,,"UnitedStates, 美食博主",60,0.0,,文化薯,47.76,83.5,,19.54,30.43,33.66,11.74,4.62,"1        美食        6.66%
2        影视        5.05%
3        时尚        5.02%
4        素材        4.88%
5        出行        3.98%","1        广东        10.72%
2        江苏        7.70%
3        山东        6.63%
4        浙江        6.08%
5        河南        5.64%",
Xiaohan,青年退堂鼓演奏家,https://www.xiaohongshu.com/user/profile/5bd47767f16b990001e1072b,5bd47767f16b990001e1072b,M.S in Business Analytics. 音乐人➡️数据分析 音乐🎼美食🍜生活🚗,,F,165.0,1607.0,16800,,,200,1.0,1,银冠薯,44.65,76.53,,4.91,24.43,42.17,19.75,8.7,"1        生活记录        11.03%
2        娱乐        10.13%
3        美食        9.12%
4        时尚        6.76%
5        影视        5.82%","1        海外        34.53%
2        广东        10.98%
3        江苏        5.92%
4        上海        5.92%
5        北京        5.13%",
Xiaohan,弹力小笼包,https://www.xiaohongshu.com/user/profile/5994315250c4b44ce63f0df6,5994315250c4b44ce63f0df6,杭州|PSU|Cornell➡️Dallas 00.06.12 INFJ 🎵🍽️📷🖤,Gemini,F,307.0,1576.0,9942,,"美国TX, 康奈尔大学",50,0.0,优秀,泡泡薯,47.34,76.21,,1.94,22.57,50.56,19.33,5.58,"1        生活记录        16.70%
2        美食        9.06%
3        时尚        8.39%
4        旅游        7.74%
5        娱乐        6.10%","1        海外        66.82%
2        广东        7.42%
3        上海        2.92%
4        浙江        2.65%
5        江苏        2.45%",
Xiaohan,九公子。,https://www.xiaohongshu.com/user/profile/5d72c2a60000000001019168,5d72c2a60000000001019168,📍达拉斯 📍西雅图 金牛座｜INTJ-A｜人活一辈子就想吃点好吃的 啥都想尝尝，啥都想试试 规则边缘内打破局限,Taurus ,F,51.0,1011.0,4683,,,40,0.0,,泡泡薯,,,,,,,,,,,
Xiaohan,木兮Muya,https://www.xiaohongshu.com/user/profile/59417dd15e87e7122b80b498,59417dd15e87e7122b80b498,UW-Madison 21届美少女😆 美国注册会计师 CPA✌️ 现在Dallas🥳 喜欢road-trip喜欢吃喝玩 📬563412vicky@gmail.com,Sagittarius,F,119.0,935.0,5282,,,10,0.0,,泡泡薯,,82.24,73.0,26.21,21.83,24.79,16.39,10.76,"1        美食        7.22%
2        影视        5.40%
3        时尚        4.42%
4        娱乐        4.22%
5        素材        4.08%","1        广东        9.92%
2        山东        6.84%
3        江苏        6.72%
4        河南        5.54%
5        浙江        5.14%",
