Scraped by,Name,URL,user_id,Bio(text),星座,Sex,following count,fans count,liked n collected,ip_location,tags(text),图文报价(RMB),图文报价有对号,红人健康等级,平台等级,活跃粉丝占比(仅>1K),粉丝女性比例,粉丝年龄<18,粉丝年龄18-24,粉丝年龄25-34,粉丝年龄35-44,粉丝年龄>44,兴趣标签,地域分布,
Yucheng,达拉斯美睫美甲培训,https://www.xiaohongshu.com/user/profile/651b72c60000000024016c70,651b72c60000000024016c70,"99 Beauty Salson &School 99美业执照培训学校
9300 John Hickman Pkwy #1203, Frisco, TX 75035",,F,1405,429,3787,,"美国得克萨斯
美甲师
美食博主",10,0,,0,null,91.1,8.12,26.71,42.98,18.38,3.78,"1	美食	6.43%
2	时尚	5.63%
3	美妆	5.34%
4	出行	5.10%
5	家居家装	4.77%","1	广东	12.22%
2	江苏	8.07%
3	浙江	7.65%
4	山东	6.44%
5	河南	5.15%",
Yucheng,步鹿在流浪,https://www.xiaohongshu.com/user/profile/576e5cc95e87e72f9801db4d,576e5cc95e87e72f9801db4d,"纽约 ▶️ 西雅图 ▶️ 湾区 ▶️ 达拉斯
平时钻研各种证书📖
没事出去吃吃喝喝🍔
业余房地产研究员🧐
家有逆子柴犬小蜜蜂",,F,426,243,3656,,美国,10,0,,困困薯,null,81.13,11.86,31.82,36.43,13.89,5.97,"1	美食	7.78%
2	时尚	5.71%
3	影视	4.63%
4	家居家装	4.44%
5	美妆	4.42%","1	广东	11.57%
2	江苏	7.31%
3	山东	6.95%
4	浙江	6.13%
5	河南	5.65%",
Yucheng,小唇me蜜,https://www.xiaohongshu.com/user/profile/5dfd27da0000000001009aae,5dfd27da0000000001009aae,,,F,37,238,4920,,美国,10,0,,困困薯,null,null,null,null,null,null,null,null,null,
Yucheng,奶盖队长,https://www.xiaohongshu.com/user/profile/5f3a3aa5000000000101e9ac,5f3a3aa5000000000101e9ac,吃好吃的，盘好看的,,F,496,231,16000,,美国TX,10,0,,0,null,87.31,10.52,30.24,38.58,14.87,5.76,"1	美食	8.80%
2	时尚	5.50%
3	美妆	4.83%
4	素材	4.55%
5	出行	4.55%","1	广东	11.16%
2	江苏	7.40%
3	山东	7.18%
4	河南	6.20%
5	浙江	6.03%",
Yucheng,芝麻糊了吧,https://www.xiaohongshu.com/user/profile/57ffbca35e87e76f746d9a64,57ffbca35e87e76f746d9a64,👩🏻‍💻审计民工｜ISFJ,,F,37,217,7157,,美国,10,0,,困困薯,null,87.59,11.97,37.42,37.81,12,3.88,"1	美食	7.63%
2	时尚	5.58%
3	美妆	4.83%
4	出行	4.67%
5	素材	4.61%","1	广东	11.55%
2	江苏	7.47%
3	山东	7.01%
4	浙江	6.30%
5	河南	5.82%",
Yucheng,小fafa,https://www.xiaohongshu.com/user/profile/5c4be6f500000000100050c6,5c4be6f500000000100050c6,"📍TX🇺🇸
吃喝｜遛娃｜摄影｜旅行
旅行笔记已分类📁",,F,180,1731,30000,,"UnitedStates...
摄影博主",10,0,,甜筒薯,48.11,89.8,18.59,27.9,35.41,14.46,3，61,"1	美食	5.34%
2	时尚	4.46%
3	影视	3.66%
4	素材	3.52%
5	美妆	3.40%","1	广东	8.13%
2	江苏	7.08%
3	上海	5.23%
4	浙江	5.21%
5	山东	5.21%",
Yucheng,Esther 星星 ✨,https://www.xiaohongshu.com/user/profile/621a0927000000001000f950,621a0927000000001000f950,"生而自由 爱而无畏
清醒知进退 酷而不失浪漫
我是ENFP快乐小狗🐶
Ig：estherxingxing01
谢谢你这么好看还关注我哦❤️",,F,907,993,14000,,美国,10,0,,甜筒薯,null,87.25,39.62,29.04,17.33,9.43,4.56,"1	影视	5.95%
2	素材	5.70%
3	娱乐	5.22%
4	美食	4.83%
5	时尚	4.75%","1	广东	9.32%
2	山东	7.44%
3	江苏	6.59%
4	河南	6.13%
5	浙江	4.88%",
Yucheng,德州太太Hannah,https://www.xiaohongshu.com/user/profile/615b505c000000000201f7b8,615b505c000000000201f7b8,住在达拉斯的台湾太太♥️热爱手作、料理、居家布置😋家中有两只猫猫😼😸♥欢迎收听我的Podcast：「幸福餐桌」和「宝贝方舟说故事」,,F,78,364,2453,,美国,10,0,,泡泡薯,null,87.2,13.51,33.95,36.7,11.89,3.94,"1	美食	7.62%
2	时尚	5.49%
3	美妆	4.68%
4	素材	4.66%
5	出行	4.58%","1	广东	11.48%
2	江苏	7.47%
3	山东	7.11%
4	浙江	6.24%
5	河南	5.86%",
Yucheng,Shanghai22Spring,https://www.xiaohongshu.com/user/profile/5b6ca1b7e44bfa0001a013e6,5b6ca1b7e44bfa0001a013e6,"全职工作以外，也是我们家teenage girl 的妈妈/闺蜜/心灵导师
热爱：艺术，旅行，美食，料理，健身，养生",,F,217,236,2031,,美国,10,0,,文化薯,null,91.88,64.38,25.8,4.43,3.38,1.99,"1	素材	9.40%
2	影视	7.18%
3	娱乐	5.90%
4	人文	5.30%
5	兴趣爱好	4.85%","1	山东	8.40%
2	河南	8.38%
3	广东	8.36%
4	江苏	7.18%
5	河北	5.45%",
Yucheng,Coco,https://www.xiaohongshu.com/user/profile/6613fa0f000000000303117f,6613fa0f000000000303117f,记录美国生活,,F,64,220,1342,,美国,10,0,,,null,91.88,64.38,25.8,4.43,3.38,1.99,"1	素材	9.40%
2	影视	7.18%
3	娱乐	5.90%
4	人文	5.30%
5	兴趣爱好	4.85%","1	山东	8.40%
2	河南	8.38%
3	广东	8.36%
4	江苏	7.18%
5	河北	5.45%",
Yucheng,卿卿桑,https://www.xiaohongshu.com/user/profile/585dce396a6a69308e6d580d,585dce396a6a69308e6d580d,"北京人在🇺🇸🌟
老留子留美10年🌟
Major in 吃喝玩乐🌟",Scorpio,M,57,1106,5042,,美国,40,0,,,65.31,91.88,64.38,25.8,4.43,3.38,1.99,"1       美食        6.86%        
2       美食探店        5.67%        
3       纽约美食        1.97%        
4       冬天去哪玩        1.48%        
5       旅游出行        1.33%        ","1	山东	8.40%
2	河南	8.38%
3	广东	8.36%
4	江苏	7.18%
5	河北	5.45%",
Yucheng,大猪蹄子i,https://www.xiaohongshu.com/user/profile/5bcd24861193dc000127b483,5bcd24861193dc000127b483,"ENFJ ｜天津✈️芝加哥✈️达拉斯｜非单身
兴趣爱好广泛",,M,74,405,7136,,美国,10,0,,泡泡薯,null,91.88,64.38,25.8,4.43,3.38,1.99,"1	素材	9.40%
2	影视	7.18%
3	娱乐	5.90%
4	人文	5.30%
5	兴趣爱好	4.85%","1	山东	8.40%
2	河南	8.38%
3	广东	8.36%
4	江苏	7.18%
5	河北	5.45%",
Xinbo,美村花姐MOMO,https://www.xiaohongshu.com/user/profile/6173187600000000020257ee,6173187600000000020257ee,"姐另一个平台名字一样💜🩷💙
去过8个国家，中国29个省，美国31个州👑
Don’t mess with Texas ☝️
活在缘分里，而不是关系里 🫶🏻✨",,F,55,1077,3024,,US,350,1,优秀,甜筒薯,50.14,57.46,3.04,21.02,35.79,26.96,13.16,"1	生活记录	11.95%
2	美食	10.88%
3	旅游	6.04%
4	美妆	5.78%
5	娱乐	5.74%","1	海外	25.66%
2	天津	10.65%
3	广东	6.31%
4	北京	5.89%
5	辽宁	5.75%",
Xinbo,Xena,https://www.xiaohongshu.com/user/profile/676f0595000000001801da5d,676f0595000000001801da5d,"🎮 🎨💪🏽📺📚🧠💄🐶🌵🥾♏️

Hi Everyone
Welcome to my world
From TikTok 💔",,F,200,4534,100000,,US,250,0,,,90.91,87.18,4.58,16.87,41.57,23.19,13.75,"1	美食	9.81%
2	家居家装	5.30%
3	健康	4.83%
4	时尚	4.56%
5	出行	4.21%","1	上海	5.10%
2	北京	4.26%
3	广州	3.18%
4	深圳	2.63%
5	成都	2.18%",
Xinbo,你的TX朋友圈,https://www.xiaohongshu.com/user/profile/5f1880d8000000000101d503,5f1880d8000000000101d503,"🇺🇸TX小红🍠们，定期播报吃喝玩乐、一手探店讯息、餐馆测评、用餐指南！❤️
很高兴成为你的TX朋友圈☺️",,F,17,1295,7172,,US,200,1,优秀,困困薯,52.65,69.97,2.1,7.93,41.06,33.33,15.56,"1	美食	12.10%
2	生活记录	10.81%
3	娱乐	10.42%
4	影视	6.65%
5	时尚	5.17%","1	海外	84.30%
2	广东	3.10%
3	山东	1.47%
4	台湾	1.39%
5	北京	1.14%",
Xinbo,小水瓶莉莉,https://www.xiaohongshu.com/user/profile/5eef790e0000000001002090,5eef790e0000000001002090,"🇬🇧UoE➡️🇩🇪家电➡️🇺🇸建材
🌍携程签约旅行家 花筑特邀体验官
长白山万达度假区雪季体验官
巴黎联合国总部演讲人
分享生活有问必答💗SunLily0000",,F,184,714,11000,,US,10,0,,文化薯,null,87.2,14.1,29.9,36.69,14.17,5.12,"1	美食	5.91%
2	时尚	4.54%
3	出行	3.96%
4	素材	3.86%
5	美妆	3.74%","1	广东	9.48%
2	江苏	6.72%
3	山东	5.70%
4	浙江	5.67%
5	河南	4.69%",
Xinbo,meow-,https://www.xiaohongshu.com/user/profile/57a142546a6a695a454d664e,57a142546a6a695a454d664e,心上不长草 诗酒趁年华,,F,257,427,11k,,US,10,0,,,null,78.45%,20.45,24.34,31.9,16.08,7.21,"1	美食	6.14%
2	时尚	5.53%
3	影视	5.17%
4	娱乐	4.27%
5	素材	4.25%","1	广东	11.12%
2	江苏	7.59%
3	山东	6.84%
4	浙江	6.44%
5	上海	5.75%",
Xinbo,倚砳是好吃包,https://www.xiaohongshu.com/user/profile/5b7ba8c2e6c06200012a5977,5b7ba8c2e6c06200012a5977,"背包客，旅行产品工作，攻略达人
分享我在世界各地 吃过/见过的美食",,F,43,468,5069,,,20,0,,泡泡薯,null,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
Xinbo,JoanneJJJ,https://www.xiaohongshu.com/user/profile/6104251600000000010052ab,6104251600000000010052ab,"👩🏻‍💻四大 · CPA
要开心·要洒脱·要爱自己·要好好吃饭·要好好睡觉
ig: baobao_jjj",,F,48,402,2373,,US,10,0,,泡泡薯,,94.98,4.98,21.55,44.63,22.07,6.74,"1	美食	7.33%
2	时尚	6.10%
3	美妆	5.71%
4	健康	4.88%
5	家居家装	4.60%","1	广东	12.10%
2	江苏	6.95%
3	山东	6.25%
4	浙江	5.96%
5	河南	5.86%",
Xinbo,Fun Life Club,https://www.xiaohongshu.com/user/profile/6110a0940000000001002eec,6110a0940000000001002eec,"来美十年 电商/数字化营销/商业智能
分享旅行、日常、成长、思考",,F,159,311,4141,,US,10,0,,甜筒薯,,91.88,64.38,25.8,4.43,3.38,1.99,"1	素材	9.40%
2	影视	7.18%
3	娱乐	5.90%
4	人文	5.30%
5	兴趣爱好	4.85%","1	山东	8.40%
2	河南	8.38%
3	广东	8.36%
4	江苏	7.18%
5	河北	5.45%",
Xinbo,陈年黑馒头,https://www.xiaohongshu.com/user/profile/60e859f1000000000100b675,60e859f1000000000100b675,📷🥑🏝️👨🏻‍⚕️🇺🇸UT Southwestern➡️Stanford Medicine,,M,209,1570,3040,,,50,0,,困困薯,52.04,81.15,21.83,26.51,26.04,15.92,9.68,"1	美食	4.87%
2	时尚	4.16%
3	影视	4.05%
4	娱乐	3.71%
5	素材	3.68%","1	广东	8.89%
2	江苏	5.86%
3	山东	5.55%
4	浙江	4.96%
5	河南	4.59%",
Xinbo,AAAAAlbert,https://www.xiaohongshu.com/user/profile/5d236c2400000000110291ba,,Texan/Engineer/Home Improvement/Road Trip Fan,,M,146,456,3857,,US,10,0,,困困薯,,85.02,21.66,24.4,26.25,17.68,9.98,"1	美食	7.24%
2	家居家装	6.00%
3	时尚	5.75%
4	影视	5.55%
5	娱乐	4.60%","1	广东	10.93%
2	山东	7.27%
3	江苏	7.22%
4	浙江	6.05%
5	河南	5.80%",
Xinbo,Texas达村德州JC,https://www.xiaohongshu.com/user/profile/63288a0200000000230275fd,63288a0200000000230275fd,"Speak Texan, Cantonese, Mandarin
愛上德州Texas!
愛上達村Dallas!",,M,106,454,2699,,US,5,0,,泡泡薯,,87.38,12.04,38.58,27.78,15.92,5.66,"1	美食	6.43%
2	时尚	6.11%
3	教育	6.10%
4	娱乐	4.89%
5	影视	4.86%","1	广东	11.75%
2	山东	6.86%
3	江苏	6.83%
4	河南	6.01%
5	浙江	5.30%",
Xinbo,北极熊的美国生活笔记,https://www.xiaohongshu.com/user/profile/6303b99d0000000012001f58,6303b99d0000000012001f58,"🇺🇸17年
🏠 南京 ❄️波士顿 🌧️西雅图 🌞达拉斯
你的北美生活博主
摄影+旅游👉@我是邻居家的猫
私信不看请见谅❤️",,F,49,1479,28000,,US,500,1,优秀,泡泡薯,84.29,71.76,2.27,8.98,48.96,29.61,10.16,"1	生活记录	14.11%
2	娱乐	12.02%
3	美食	9.88%
4	影视	6.74%
5	商业财经	4.68%","1	海外	72.75%
2	上海	3.51%
3	广东	2.91%
4	浙江	2.54%
5	江苏	2.32%",
Xiaohan,Dallas Miranda,https://www.xiaohongshu.com/user/profile/67865b1a000000000803eeb0,67865b1a000000000803eeb0,Ig & YT: dallasmirandaklein Over 400k friends on TikTok and refugee,,F,3,7252,24000,,,530,0,,null,null,null,null,null,null,null,null,null,null,
Xiaohan,💡刘老师,https://www.xiaohongshu.com/user/profile/5b67b542a559a50001e1ff09,5b67b542a559a50001e1ff09,德州房产经纪人Broker🏠 DISD 高中化学物理老师 TX Esthetician TX证婚人 爱考证❤️爱猫猫❤️爱脱口秀,Sagittarius,F,1931,2169,13198,,巴巴多斯,350,1,优秀,铜冠薯,47.92,70.71,2.27,6.62,50.38,29.28,11.42,"1        生活记录        11.53%
2        娱乐        11.41%
3        美食        11.37%
4        影视        6.87%
5        时尚        5.88%
6        旅游        4.21%
7        情感        4.09%
8        资讯        3.94%
9        家居家装        3.93%
10        美妆        3.77%
11        商业财经        3.24%","1        海外        87.49%
2        广东        2.30%
3        上海        1.75%
4        北京        1.35%
5        江苏        1.00%",和星巴克合作过
Xiaohan,榴莲会飞,https://www.xiaohongshu.com/user/profile/604fd7a70000000001007a46,604fd7a70000000001007a46,,,F,454,561,1722,,,20,0,,泡泡薯,null,null,null,null,null,null,null,null,null,
Xiaohan,Hereisivy,https://www.xiaohongshu.com/user/profile/55f2f7e3f5a2635bd2fac7b5,55f2f7e3f5a2635bd2fac7b5,💕记录生活💓ESFJ 🧳有趣的灵魂永远在路上 旅游/穿搭/Vlog/留学,Taurus,F,74,5445,64573,,UnitedStates,750,1,优秀,文化薯,75.24,49.79,2.99,34.11,39.87,16.47,6.53,"1        生活记录        15.24%
2        时尚        10.61%
3        旅游        9.37%
4        娱乐        7.96%
5        美食        7.65%","1        海外        30.51%
2        广东        12.80%
3        北京        6.10%
4        上海        5.33%
5        江苏        5.11%",
Xiaohan,握瑾怀瑜,https://www.xiaohongshu.com/user/profile/5f5119d80000000001003189,5f5119d80000000001003189,在美国生活十几年| 吃喝玩乐+折扣分享｜传播中华文化 汉服世界旅行｜分享双语教育,,F,265,5284,67920,,"美国TX, 探店博主, 旅行博主",500,1,优秀,金冠薯,58.74,79.59,22.11,21.13,32.35,17.93,6.45,"1	生活记录	9.36%
2	美食	7.90%
3	娱乐	7.81%
4	影视	6.69%
5	时尚	5.33%","1	海外	21.52%
2	江苏	10.57%
3	广东	9.79%
4	山东	4.88%
5	浙江	4.51%",
Xiaohan,摄影师Judy📷,https://www.xiaohongshu.com/user/profile/5aa0cade11be1046ae887e60,5aa0cade11be1046ae887e60,情绪价值拉满的独立女摄 佛系更新的ENFJ｜约拍看这➡️ 个人写真/情侣/领证/亲子/婚礼…,,F,68,1770,17532,,"摄影师, 摄影博主",300,1,优秀,泡泡薯,43.96,76.4,3.6,24.11,49.38,13.55,9.33,"1        美食        9.95%
2        生活记录        9.03%
3        娱乐        8.45%
4        时尚        8.20%
5        美妆        6.10%","1        海外        29.25%
2        浙江        11.74%
3        福建        7.56%
4        四川        6.98%
5        广东        5.33%",
Xiaohan,绿野仙踪Girlpower221,https://www.xiaohongshu.com/user/profile/5cf3d4cd00000000100324a0,5cf3d4cd00000000100324a0,坐标美国德州，拥有自己的农场，偶尔做做私厨，努力做达拉斯周边Farm To Table中餐第一人！在这里跟大家分享生活，分享美食。有问题找分号@Fresh Mojo Farms,,F,921,8915,71000,,UnitedStates,238,1,优秀,金冠薯,73.23,86.27,13.52,21.04,34.85,18.96,11.61,"1        美食        10.07%
2        时尚        4.68%
3        影视        4.53%
4        家居家装        4.42%
5        兴趣爱好        4.10%","1        广东        10.83%
2        江苏        7.51%
3        山东        7.03%
4        浙江        6.00%
5        河南        5.98%",
Xiaohan,青年退堂鼓演奏家,https://www.xiaohongshu.com/user/profile/5bd47767f16b990001e1072b,5bd47767f16b990001e1072b,M.S in Business Analytics. 音乐人➡️数据分析 音乐🎼美食🍜生活🚗,,F,165,1607,16800,,,200,1,优秀,银冠薯,44.65,76.53,4.91,24.43,42.17,19.75,8.7,"1        生活记录        11.03%
2        娱乐        10.13%
3        美食        9.12%
4        时尚        6.76%
5        影视        5.82%","1        海外        34.53%
2        广东        10.98%
3        江苏        5.92%
4        上海        5.92%
5        北京        5.13%",
Xiaohan,晴晴安,https://www.xiaohongshu.com/user/profile/55481451b203d97e86008c02,55481451b203d97e86008c02,📍北京制造 定居达拉斯 🗂《达拉斯约会宝典》💯家餐厅✅达成 🎓MS Business Analytics 👩🏻‍💻500强数据产品负责人 🐈有只橘猫叫Kitters,,F,1049,1956,17769,,"美国, 探店博主",180,1,优秀,文化薯,44.49,66.46,2.88,11.63,44.41,24.71,16.34,"1        美食        12.41%
2        生活记录        11.73%
3        娱乐        10.29%
4        影视        5.91%
5        时尚        5.59%","1        海外        68.70%
2        广东        4.21%
3        辽宁        3.27%
4        北京        3.14%
5        上海        2.07%",
Xiaohan,向向同学Xsingnana😽,https://www.xiaohongshu.com/user/profile/617961470000000002027fea,617961470000000002027fea,爱吃爱玩的旅行家 | 永远步履不停地在成长 She’s forever evolving 记录那些让我成为「我」的瞬间 📍长沙➡️NYC➡️DFW ig: Xsingna,,F,1010,5487,147344,,美国NY,130,0,优秀,铜冠薯,61.18,83.7,42.93,22.07,14.29,12.26,8.42,"1        影视        7.20%
2        美食        5.78%
3        素材        5.47%
4        娱乐        5.18%
5        生活记录        4.88%","1        广东        9.81%
2        山东        7.66%
3        江苏        7.33%
4        河南        6.36%
5        河北        5.30%",
Xiaohan,胡桃夹子与小熊,https://www.xiaohongshu.com/user/profile/593a946750c4b410410c3805,593a946750c4b410410c3805,🇨🇳青岛🇺🇸 费城👩🏻‍🎓达拉斯🏘 生物医学攻城🧠 🎻巴赫爱好者🎹游泳菜蛙🐸徒步萌新🧗 达村日常、房产笔记均已分类,,F,141,2954,27765,,美国,130,0,,文化薯,43.65,91.1,8.12,26.71,42.98,18.38,3.78,"1        美食        3.21%
2        时尚        2.81%
3        美妆        2.67%
4        出行        2.55%
5        家居家装        2.38%","1        广东        6.11%
2        江苏        4.03%
3        浙江        3.82%
4        山东        3.22%
5        河南        2.57%",
Xiaohan,Amy在达拉斯,https://www.xiaohongshu.com/user/profile/5f5888a8000000000101e50d,5f5888a8000000000101e50d,🌞达拉斯生活&达拉斯溜娃分享🌞 🎓达拉斯公/私校/学区/分析分享🎓 🏫美国Think Academy 老师🏫 💗关注我 一起做更好的家长💗,,F,47,1957,10429,,,80,0,,文化薯,29.02,82.44,16.61,25.13,32.43,18.39,7.41,"1        美食        4.71%
2        时尚        4.14%
3        素材        3.54%
4        影视        3.44%
5        教育        3.42%","1        广东        8.62%
2        江苏        5.78%
3        山东        5.31%
4        浙江        4.75%
5        河南        4.43%",
Xiaohan,干饭阿丸,https://www.xiaohongshu.com/user/profile/5530f8642e1d9365fa9a29fb,5530f8642e1d9365fa9a29fb,记录吃吃吃的快乐生活🥰 不知道吃什么的时候就翻一翻笔记📕 菜品图均为苹果原相机无滤镜📷 正宗中国胃 重口味爱好者🥘 合集在收藏夹～谢谢喜欢😘,Aries,F,116,1611,23000,,"UnitedStates, 美食博主",60,0,,文化薯,47.76,83.5,19.54,30.43,33.66,11.74,4.62,"1        美食        6.66%
2        影视        5.05%
3        时尚        5.02%
4        素材        4.88%
5        出行        3.98%","1        广东        10.72%
2        江苏        7.70%
3        山东        6.63%
4        浙江        6.08%
5        河南        5.64%",
Xiaohan,弹力小笼包,https://www.xiaohongshu.com/user/profile/5994315250c4b44ce63f0df6,5994315250c4b44ce63f0df6,杭州|PSU|Cornell➡️Dallas 00.06.12 INFJ 🎵🍽️📷🖤,Gemini,F,307,1576,9942,,"美国TX, 康奈尔大学",50,0,优秀,泡泡薯,47.34,76.21,1.94,22.57,50.56,19.33,5.58,"1        生活记录        16.70%
2        美食        9.06%
3        时尚        8.39%
4        旅游        7.74%
5        娱乐        6.10%","1        海外        66.82%
2        广东        7.42%
3        上海        2.92%
4        浙江        2.65%
5        江苏        2.45%",
Xiaohan,Snow-八分之一 冰山,https://www.xiaohongshu.com/user/profile/5a74dca911be1032569e20df,5a74dca911be1032569e20df,咖啡店主不当店主之后 在做什么… 在读 M.S. in Management Science ｜Entrepreneurship program 在健身，打球pickleball，旅行，探店..,Scorpio,F,308,1866,6899,,美国,40,0,,甜筒薯,46.26,88.71,25.7,28.2,28.51,12.31,5.26,"1        美食        8.17%
2        影视        5.61%
3        素材        5.03%
4        时尚        4.83%
5        兴趣爱好        4.83%","1        广东        10.66%
2        山东        7.81%
3        江苏        7.32%
4        河南        6.47%
5        浙江        5.75%",
